Attack type,Original recall,Host-normalized recall,Combined recall,Delta
apt_exfil,1.0,1.0,1.0,0.0
http_flood,1.0,1.0,1.0,0.0
icmp_flood,1.0,1.0,1.0,0.0
insider_threat,0.9967741935483873,1.0,0.9967741935483873,0.0
modbus_abuse,1.0,1.0,1.0,0.0
modbus_fdi,1.0,1.0,1.0,0.0
os_scan,0.9949367088607596,0.9949367088607596,0.5139240506329114,-0.4810126582278482
port_scan,1.0,1.0,1.0,0.0
sql_injection,1.0,1.0,1.0,0.0
tcp_ack_flood,1.0,1.0,1.0,0.0
udp_flood,1.0,1.0,0.9998671998347376,-0.00013280016526240335
vuln_scan,0.9976783968719452,0.9976783968719452,0.969574780058651,-0.028103616813294097
