protocol,seed,condition,host,role,fp_count
temporal,7,H1_original_default_threshold,216.239.38.120,source,1352
temporal,7,H1_original_default_threshold,216.58.214.142,source,1139
temporal,7,H1_original_default_threshold,192.124.249.13,source,910
temporal,7,H1_original_default_threshold,212.156.183.14,source,849
temporal,7,H1_original_default_threshold,216.58.214.136,source,508
temporal,7,H1_original_default_threshold,192.168.119.140,source,440
temporal,7,H1_original_default_threshold,172.217.169.118,source,366
temporal,7,H1_original_default_threshold,192.124.249.6,source,180
temporal,7,H1_original_default_threshold,142.251.141.35,source,101
temporal,7,H1_original_default_threshold,fe80::d3e7:2326:fab4:6ec4,source,27
temporal,7,H1_original_default_threshold,142.251.140.14,source,18
temporal,7,H1_original_default_threshold,172.217.17.142,source,17
temporal,7,H1_original_default_threshold,142.250.187.170,source,15
temporal,7,H1_original_default_threshold,192.168.119.1,source,15
temporal,7,H1_original_default_threshold,172.217.17.150,source,14
temporal,7,H1_original_default_threshold,34.128.128.0,source,12
temporal,7,H1_original_default_threshold,142.250.187.131,source,11
temporal,7,H1_original_default_threshold,216.58.212.42,source,11
temporal,7,H1_original_default_threshold,142.250.187.113,source,10
temporal,7,H1_original_default_threshold,74.125.143.154,source,10
temporal,7,H1_original_default_threshold,216.58.212.33,source,10
temporal,7,H1_original_default_threshold,216.58.213.110,source,10
temporal,7,H1_original_default_threshold,34.36.137.203,source,9
temporal,7,H1_original_default_threshold,142.251.140.67,source,9
temporal,7,H1_original_default_threshold,142.250.187.138,source,8
temporal,7,H1_original_default_threshold,35.190.72.216,source,8
temporal,7,H1_original_default_threshold,172.217.17.238,source,8
temporal,7,H1_original_default_threshold,216.239.34.181,source,7
temporal,7,H1_original_default_threshold,104.16.150.240,source,7
temporal,7,H1_original_default_threshold,142.251.140.74,source,7
temporal,7,H1_original_default_threshold,142.251.141.46,source,7
temporal,7,H1_original_default_threshold,108.177.15.84,source,7
temporal,7,H1_original_default_threshold,216.58.212.14,source,6
temporal,7,H1_original_default_threshold,172.217.17.136,source,6
temporal,7,H1_original_default_threshold,104.16.174.226,source,6
temporal,7,H1_original_default_threshold,172.217.169.131,source,6
temporal,7,H1_original_default_threshold,212.156.183.83,source,5
temporal,7,H1_original_default_threshold,142.251.141.42,source,5
temporal,7,H1_original_default_threshold,fe80::ffae:5961:5b38:a0f2,source,4
temporal,7,H1_original_default_threshold,212.156.183.142,source,4
temporal,7,H1_original_default_threshold,193.140.98.183,source,4
temporal,7,H1_original_default_threshold,104.16.249.249,source,4
temporal,7,H1_original_default_threshold,216.58.212.2,source,4
temporal,7,H1_original_default_threshold,216.58.213.102,source,4
temporal,7,H1_original_default_threshold,172.217.169.130,source,3
temporal,7,H1_original_default_threshold,34.107.243.93,source,3
temporal,7,H1_original_default_threshold,142.250.187.130,source,3
temporal,7,H1_original_default_threshold,192.168.119.130,source,1
temporal,7,H1_original_default_threshold,192.168.119.140,destination,5679
temporal,7,H1_original_default_threshold,216.58.214.142,destination,162
temporal,7,H1_original_default_threshold,192.168.119.141,destination,99
temporal,7,H1_original_default_threshold,216.239.38.120,destination,50
temporal,7,H1_original_default_threshold,ff02::16,destination,19
temporal,7,H1_original_default_threshold,192.124.249.13,destination,14
