protocol,seed,condition,attack_type,recall
temporal,7,H1_original_default_threshold,apt_exfil,1.0
temporal,7,H1_original_default_threshold,http_flood,1.0
temporal,7,H1_original_default_threshold,icmp_flood,1.0
temporal,7,H1_original_default_threshold,insider_threat,0.0
temporal,7,H1_original_default_threshold,modbus_abuse,0.0
temporal,7,H1_original_default_threshold,modbus_fdi,0.0
temporal,7,H1_original_default_threshold,port_scan,0.9632299927901946
temporal,7,H1_original_default_threshold,sql_injection,1.0
temporal,7,H1_original_default_threshold,tcp_ack_flood,1.0
temporal,7,H1_original_default_threshold,tcp_syn_flood,0.999818247909851
temporal,7,H1_original_default_threshold,vuln_scan,0.008470762633348334
temporal,7,H2_original_calibrated_threshold,apt_exfil,1.0
temporal,7,H2_original_calibrated_threshold,http_flood,1.0
temporal,7,H2_original_calibrated_threshold,icmp_flood,1.0
temporal,7,H2_original_calibrated_threshold,insider_threat,0.9633471645919779
temporal,7,H2_original_calibrated_threshold,modbus_abuse,0.0
temporal,7,H2_original_calibrated_threshold,modbus_fdi,0.9749620637329287
temporal,7,H2_original_calibrated_threshold,port_scan,1.0
temporal,7,H2_original_calibrated_threshold,sql_injection,1.0
temporal,7,H2_original_calibrated_threshold,tcp_ack_flood,1.0
temporal,7,H2_original_calibrated_threshold,tcp_syn_flood,0.999818247909851
temporal,7,H2_original_calibrated_threshold,vuln_scan,0.011117875956269688
temporal,7,H3_host_normalized_default_threshold,apt_exfil,1.0
temporal,7,H3_host_normalized_default_threshold,http_flood,1.0
temporal,7,H3_host_normalized_default_threshold,icmp_flood,1.0
temporal,7,H3_host_normalized_default_threshold,insider_threat,0.0
temporal,7,H3_host_normalized_default_threshold,modbus_abuse,0.0
temporal,7,H3_host_normalized_default_threshold,modbus_fdi,0.0
temporal,7,H3_host_normalized_default_threshold,port_scan,0.9531362653208363
temporal,7,H3_host_normalized_default_threshold,sql_injection,1.0
temporal,7,H3_host_normalized_default_threshold,tcp_ack_flood,1.0
temporal,7,H3_host_normalized_default_threshold,tcp_syn_flood,0.9956379498364231
temporal,7,H3_host_normalized_default_threshold,vuln_scan,0.00844429150011912
temporal,7,H4_host_normalized_calibrated_threshold,apt_exfil,1.0
temporal,7,H4_host_normalized_calibrated_threshold,http_flood,1.0
temporal,7,H4_host_normalized_calibrated_threshold,icmp_flood,1.0
temporal,7,H4_host_normalized_calibrated_threshold,insider_threat,0.9605809128630706
temporal,7,H4_host_normalized_calibrated_threshold,modbus_abuse,0.0
temporal,7,H4_host_normalized_calibrated_threshold,modbus_fdi,0.9669954476479514
temporal,7,H4_host_normalized_calibrated_threshold,port_scan,1.0
temporal,7,H4_host_normalized_calibrated_threshold,sql_injection,1.0
temporal,7,H4_host_normalized_calibrated_threshold,tcp_ack_flood,1.0
temporal,7,H4_host_normalized_calibrated_threshold,tcp_syn_flood,0.999818247909851
temporal,7,H4_host_normalized_calibrated_threshold,vuln_scan,0.014559123276067449
