protocol,seed,condition,host,role,fp_count
trackb,7,H1_original_default_threshold,192.168.119.140,source,2299
trackb,7,H1_original_default_threshold,192.168.119.141,source,2058
trackb,7,H1_original_default_threshold,192.168.119.142,source,130
trackb,7,H1_original_default_threshold,192.168.119.143,source,107
trackb,7,H1_original_default_threshold,fe80::d3e7:2326:fab4:6ec4,source,4
trackb,7,H1_original_default_threshold,192.168.119.130,source,2
trackb,7,H1_original_default_threshold,192.168.119.1,source,2
trackb,7,H1_original_default_threshold,fe80::ffae:5961:5b38:a0f2,source,1
trackb,7,H1_original_default_threshold,192.168.119.254,source,1
trackb,7,H1_original_default_threshold,192.168.119.141,destination,2274
trackb,7,H1_original_default_threshold,192.168.119.140,destination,2054
trackb,7,H1_original_default_threshold,192.168.119.143,destination,130
trackb,7,H1_original_default_threshold,192.168.119.142,destination,106
trackb,7,H1_original_default_threshold,172.217.17.99,destination,7
trackb,7,H1_original_default_threshold,212.154.83.90,destination,6
trackb,7,H1_original_default_threshold,ff02::16,destination,3
trackb,7,H1_original_default_threshold,195.175.181.120,destination,2
trackb,7,H1_original_default_threshold,ff02::fb,destination,2
trackb,7,H1_original_default_threshold,212.156.183.14,destination,2
trackb,7,H1_original_default_threshold,34.107.221.82,destination,2
trackb,7,H1_original_default_threshold,224.0.0.22,destination,2
trackb,7,H1_original_default_threshold,37.187.145.181,destination,1
trackb,7,H1_original_default_threshold,91.189.91.96,destination,1
trackb,7,H1_original_default_threshold,172.217.17.238,destination,1
trackb,7,H1_original_default_threshold,140.82.121.4,destination,1
trackb,7,H1_original_default_threshold,195.175.181.162,destination,1
trackb,7,H1_original_default_threshold,216.58.214.142,destination,1
trackb,7,H1_original_default_threshold,212.156.183.83,destination,1
trackb,7,H1_original_default_threshold,185.199.110.154,destination,1
trackb,7,H1_original_default_threshold,195.175.180.43,destination,1
trackb,7,H1_original_default_threshold,172.217.169.99,destination,1
trackb,7,H1_original_default_threshold,185.125.190.48,destination,1
trackb,7,H1_original_default_threshold,172.217.17.131,destination,1
trackb,7,H1_original_default_threshold,34.107.243.93,destination,1
trackb,7,H1_original_default_threshold,184.30.131.245,destination,1
trackb,7,H2_original_calibrated_threshold,192.168.119.140,source,2117
trackb,7,H2_original_calibrated_threshold,192.168.119.142,source,129
trackb,7,H2_original_calibrated_threshold,192.168.119.143,source,98
trackb,7,H2_original_calibrated_threshold,192.168.119.1,source,2
trackb,7,H2_original_calibrated_threshold,fe80::d3e7:2326:fab4:6ec4,source,2
trackb,7,H2_original_calibrated_threshold,fe80::ffae:5961:5b38:a0f2,source,1
trackb,7,H2_original_calibrated_threshold,192.168.119.141,destination,2114
trackb,7,H2_original_calibrated_threshold,192.168.119.143,destination,129
trackb,7,H2_original_calibrated_threshold,192.168.119.142,destination,98
trackb,7,H2_original_calibrated_threshold,ff02::16,destination,3
trackb,7,H2_original_calibrated_threshold,224.0.0.22,destination,2
trackb,7,H2_original_calibrated_threshold,140.82.121.4,destination,1
trackb,7,H2_original_calibrated_threshold,172.217.17.99,destination,1
trackb,7,H2_original_calibrated_threshold,184.30.131.245,destination,1
trackb,7,H3_host_normalized_default_threshold,192.168.119.140,source,2291
trackb,7,H3_host_normalized_default_threshold,192.168.119.141,source,2022
trackb,7,H3_host_normalized_default_threshold,192.168.119.1,source,3
trackb,7,H3_host_normalized_default_threshold,fe80::d3e7:2326:fab4:6ec4,source,2
trackb,7,H3_host_normalized_default_threshold,fe80::ffae:5961:5b38:a0f2,source,1
trackb,7,H3_host_normalized_default_threshold,192.168.119.254,source,1
trackb,7,H3_host_normalized_default_threshold,192.168.119.141,destination,2261
trackb,7,H3_host_normalized_default_threshold,192.168.119.140,destination,2022
trackb,7,H3_host_normalized_default_threshold,172.217.17.99,destination,9
trackb,7,H3_host_normalized_default_threshold,ff02::16,destination,3
trackb,7,H3_host_normalized_default_threshold,34.107.221.82,destination,3
trackb,7,H3_host_normalized_default_threshold,195.175.181.120,destination,2
trackb,7,H3_host_normalized_default_threshold,172.217.169.99,destination,2
trackb,7,H3_host_normalized_default_threshold,212.156.183.14,destination,2
trackb,7,H3_host_normalized_default_threshold,224.0.0.22,destination,2
trackb,7,H3_host_normalized_default_threshold,140.82.121.4,destination,1
trackb,7,H3_host_normalized_default_threshold,172.217.17.238,destination,1
trackb,7,H3_host_normalized_default_threshold,212.156.183.83,destination,1
trackb,7,H3_host_normalized_default_threshold,195.175.181.162,destination,1
trackb,7,H3_host_normalized_default_threshold,185.199.110.154,destination,1
trackb,7,H3_host_normalized_default_threshold,195.175.180.43,destination,1
trackb,7,H3_host_normalized_default_threshold,192.168.119.143,destination,1
trackb,7,H3_host_normalized_default_threshold,192.168.119.142,destination,1
trackb,7,H3_host_normalized_default_threshold,224.0.0.251,destination,1
trackb,7,H3_host_normalized_default_threshold,172.217.17.131,destination,1
trackb,7,H3_host_normalized_default_threshold,216.58.213.110,destination,1
trackb,7,H3_host_normalized_default_threshold,172.64.149.23,destination,1
trackb,7,H3_host_normalized_default_threshold,34.107.243.93,destination,1
trackb,7,H3_host_normalized_default_threshold,184.30.131.245,destination,1
trackb,7,H4_host_normalized_calibrated_threshold,192.168.119.140,source,2130
trackb,7,H4_host_normalized_calibrated_threshold,192.168.119.141,source,9
trackb,7,H4_host_normalized_calibrated_threshold,fe80::d3e7:2326:fab4:6ec4,source,2
trackb,7,H4_host_normalized_calibrated_threshold,fe80::ffae:5961:5b38:a0f2,source,1
trackb,7,H4_host_normalized_calibrated_threshold,192.168.119.141,destination,2105
trackb,7,H4_host_normalized_calibrated_threshold,192.168.119.140,destination,9
trackb,7,H4_host_normalized_calibrated_threshold,172.217.17.99,destination,7
trackb,7,H4_host_normalized_calibrated_threshold,ff02::16,destination,3
trackb,7,H4_host_normalized_calibrated_threshold,195.175.181.120,destination,2
trackb,7,H4_host_normalized_calibrated_threshold,212.156.183.14,destination,2
trackb,7,H4_host_normalized_calibrated_threshold,34.107.221.82,destination,2
trackb,7,H4_host_normalized_calibrated_threshold,140.82.121.4,destination,1
trackb,7,H4_host_normalized_calibrated_threshold,172.217.17.238,destination,1
trackb,7,H4_host_normalized_calibrated_threshold,195.175.181.162,destination,1
trackb,7,H4_host_normalized_calibrated_threshold,212.156.183.83,destination,1
trackb,7,H4_host_normalized_calibrated_threshold,185.199.110.154,destination,1
trackb,7,H4_host_normalized_calibrated_threshold,195.175.180.43,destination,1
trackb,7,H4_host_normalized_calibrated_threshold,192.168.119.143,destination,1
trackb,7,H4_host_normalized_calibrated_threshold,192.168.119.142,destination,1
trackb,7,H4_host_normalized_calibrated_threshold,172.217.169.99,destination,1
trackb,7,H4_host_normalized_calibrated_threshold,172.217.17.131,destination,1
trackb,7,H4_host_normalized_calibrated_threshold,34.107.243.93,destination,1
trackb,7,H4_host_normalized_calibrated_threshold,184.30.131.245,destination,1
