protocol,seed,condition,attack_type,recall
trackb,7,H1_original_default_threshold,apt_exfil,1.0
trackb,7,H1_original_default_threshold,http_flood,1.0
trackb,7,H1_original_default_threshold,icmp_flood,1.0
trackb,7,H1_original_default_threshold,insider_threat,0.9967741935483871
trackb,7,H1_original_default_threshold,modbus_abuse,1.0
trackb,7,H1_original_default_threshold,modbus_fdi,1.0
trackb,7,H1_original_default_threshold,os_scan,0.9949367088607595
trackb,7,H1_original_default_threshold,port_scan,1.0
trackb,7,H1_original_default_threshold,sql_injection,1.0
trackb,7,H1_original_default_threshold,tcp_ack_flood,1.0
trackb,7,H1_original_default_threshold,udp_flood,1.0
trackb,7,H1_original_default_threshold,vuln_scan,0.9976783968719453
trackb,7,H2_original_calibrated_threshold,apt_exfil,1.0
trackb,7,H2_original_calibrated_threshold,http_flood,1.0
trackb,7,H2_original_calibrated_threshold,icmp_flood,1.0
trackb,7,H2_original_calibrated_threshold,insider_threat,0.9870967741935484
trackb,7,H2_original_calibrated_threshold,modbus_abuse,1.0
trackb,7,H2_original_calibrated_threshold,modbus_fdi,1.0
trackb,7,H2_original_calibrated_threshold,os_scan,0.5113924050632911
trackb,7,H2_original_calibrated_threshold,port_scan,1.0
trackb,7,H2_original_calibrated_threshold,sql_injection,1.0
trackb,7,H2_original_calibrated_threshold,tcp_ack_flood,1.0
trackb,7,H2_original_calibrated_threshold,udp_flood,1.0
trackb,7,H2_original_calibrated_threshold,vuln_scan,0.9683528836754643
trackb,7,H3_host_normalized_default_threshold,apt_exfil,1.0
trackb,7,H3_host_normalized_default_threshold,http_flood,1.0
trackb,7,H3_host_normalized_default_threshold,icmp_flood,1.0
trackb,7,H3_host_normalized_default_threshold,insider_threat,1.0
trackb,7,H3_host_normalized_default_threshold,modbus_abuse,1.0
trackb,7,H3_host_normalized_default_threshold,modbus_fdi,1.0
trackb,7,H3_host_normalized_default_threshold,os_scan,0.9949367088607595
trackb,7,H3_host_normalized_default_threshold,port_scan,1.0
trackb,7,H3_host_normalized_default_threshold,sql_injection,1.0
trackb,7,H3_host_normalized_default_threshold,tcp_ack_flood,1.0
trackb,7,H3_host_normalized_default_threshold,udp_flood,1.0
trackb,7,H3_host_normalized_default_threshold,vuln_scan,0.9976783968719453
trackb,7,H4_host_normalized_calibrated_threshold,apt_exfil,1.0
trackb,7,H4_host_normalized_calibrated_threshold,http_flood,1.0
trackb,7,H4_host_normalized_calibrated_threshold,icmp_flood,1.0
trackb,7,H4_host_normalized_calibrated_threshold,insider_threat,0.9967741935483871
trackb,7,H4_host_normalized_calibrated_threshold,modbus_abuse,1.0
trackb,7,H4_host_normalized_calibrated_threshold,modbus_fdi,1.0
trackb,7,H4_host_normalized_calibrated_threshold,os_scan,0.5139240506329114
trackb,7,H4_host_normalized_calibrated_threshold,port_scan,1.0
trackb,7,H4_host_normalized_calibrated_threshold,sql_injection,1.0
trackb,7,H4_host_normalized_calibrated_threshold,tcp_ack_flood,1.0
trackb,7,H4_host_normalized_calibrated_threshold,udp_flood,0.9998671998347376
trackb,7,H4_host_normalized_calibrated_threshold,vuln_scan,0.969574780058651
