window,mode,n_flows,attack_rate,attack_type_counts,f1,auprc,recall,precision,fpr,per_attack_recall,tracked_attack_recall,new_nodes,cumulative_nodes,new_ip_pairs,cumulative_edges
14,causal,26742,0.8184129595756531,"{""http_flood"": 9348, ""vuln_scan"": 4749, ""icmp_flood"": 3176, ""tcp_syn_flood"": 1655, ""tcp_ack_flood"": 1654, ""modbus_fdi"": 753, ""port_scan"": 274, ""modbus_abuse"": 152, ""insider_threat"": 73, ""sql_injection"": 44, ""apt_exfil"": 8}",0.850723154054125,0.9874447979586293,0.7404276706570411,0.9996298809450374,0.0012355848434925864,"{""apt_exfil"": 1.0, ""http_flood"": 1.0, ""icmp_flood"": 1.0, ""insider_threat"": 0.0, ""modbus_abuse"": 0.0, ""modbus_fdi"": 0.0, ""port_scan"": 0.9598540145985401, ""sql_injection"": 1.0, ""tcp_ack_flood"": 1.0, ""tcp_syn_flood"": 1.0, ""vuln_scan"": 0.012002526847757423}","{""vuln_scan"": 0.012002526847757423, ""modbus_fdi"": 0.0, ""modbus_abuse"": 0.0, ""insider_threat"": 0.0, ""apt_exfil"": 1.0}",1660,2468,1659,2479
15,causal,26742,0.7348365783691406,"{""vuln_scan"": 8329, ""icmp_flood"": 4605, ""tcp_syn_flood"": 2289, ""tcp_ack_flood"": 2269, ""modbus_fdi"": 1099, ""port_scan"": 403, ""modbus_abuse"": 223, ""apt_exfil"": 211, ""insider_threat"": 177, ""sql_injection"": 46}",0.6685838013397388,0.9573473650729787,0.502824283751463,0.9973755930150399,0.003666619658722324,"{""apt_exfil"": 1.0, ""icmp_flood"": 1.0, ""insider_threat"": 0.0, ""modbus_abuse"": 0.0, ""modbus_fdi"": 0.0, ""port_scan"": 0.9652605459057072, ""sql_injection"": 1.0, ""tcp_ack_flood"": 1.0, ""tcp_syn_flood"": 0.999563128003495, ""vuln_scan"": 0.008764557569936366}","{""vuln_scan"": 0.008764557569936366, ""modbus_fdi"": 0.0, ""modbus_abuse"": 0.0, ""insider_threat"": 0.0, ""apt_exfil"": 1.0}",2292,4760,2293,4772
16,causal,26742,0.8123924732208252,"{""vuln_scan"": 11814, ""icmp_flood"": 4869, ""tcp_syn_flood"": 1558, ""tcp_ack_flood"": 1287, ""modbus_fdi"": 784, ""apt_exfil"": 558, ""port_scan"": 412, ""insider_threat"": 262, ""modbus_abuse"": 123, ""sql_injection"": 58}",0.5765571358509073,0.9563257893574868,0.4058457997698504,0.9951467268623024,0.008570859079130955,"{""apt_exfil"": 1.0, ""icmp_flood"": 1.0, ""insider_threat"": 0.0, ""modbus_abuse"": 0.0, ""modbus_fdi"": 0.0, ""port_scan"": 0.9514563106796117, ""sql_injection"": 1.0, ""tcp_ack_flood"": 1.0, ""tcp_syn_flood"": 1.0, ""vuln_scan"": 0.008041306923988488}","{""vuln_scan"": 0.008041306923988488, ""modbus_fdi"": 0.0, ""modbus_abuse"": 0.0, ""insider_threat"": 0.0, ""apt_exfil"": 1.0}",1561,6321,1574,6346
17,causal,26742,0.7057811617851257,"{""vuln_scan"": 12885, ""icmp_flood"": 4105, ""apt_exfil"": 1021, ""insider_threat"": 480, ""port_scan"": 298, ""sql_injection"": 85}",0.4414353953653626,0.7146721719606892,0.296227614708064,0.8658819885395694,0.11006609049313676,"{""apt_exfil"": 1.0, ""icmp_flood"": 1.0, ""insider_threat"": 0.0, ""port_scan"": 0.9530201342281879, ""sql_injection"": 1.0, ""vuln_scan"": 0.007450523864959255}","{""vuln_scan"": 0.007450523864959255, ""modbus_fdi"": null, ""modbus_abuse"": null, ""insider_threat"": 0.0, ""apt_exfil"": 1.0}",29,6350,58,6404
18,causal,26742,0.039413657039403915,"{""apt_exfil"": 604, ""insider_threat"": 386, ""sql_injection"": 64}",0.2300671603237472,0.10974625728572968,0.6337760910815939,0.14054281506417,0.15902366863905326,"{""apt_exfil"": 1.0, ""insider_threat"": 0.0, ""sql_injection"": 1.0}","{""vuln_scan"": null, ""modbus_fdi"": null, ""modbus_abuse"": null, ""insider_threat"": 0.0, ""apt_exfil"": 1.0}",39,6389,78,6482
19,causal,26742,0.005609154235571623,"{""insider_threat"": 68, ""sql_injection"": 63, ""apt_exfil"": 19}",0.11581920903954802,0.05726584469067058,0.5466666666666666,0.06477093206951026,0.044524669073405534,"{""apt_exfil"": 1.0, ""insider_threat"": 0.0, ""sql_injection"": 1.0}","{""vuln_scan"": null, ""modbus_fdi"": null, ""modbus_abuse"": null, ""insider_threat"": 0.0, ""apt_exfil"": 1.0}",25,6414,53,6535
14,fixed,26742,0.8184129595756531,"{""http_flood"": 9348, ""vuln_scan"": 4749, ""icmp_flood"": 3176, ""tcp_syn_flood"": 1655, ""tcp_ack_flood"": 1654, ""modbus_fdi"": 753, ""port_scan"": 274, ""modbus_abuse"": 152, ""insider_threat"": 73, ""sql_injection"": 44, ""apt_exfil"": 8}",0.850723154054125,0.9874447979586293,0.7404276706570411,0.9996298809450374,0.0012355848434925864,"{""apt_exfil"": 1.0, ""http_flood"": 1.0, ""icmp_flood"": 1.0, ""insider_threat"": 0.0, ""modbus_abuse"": 0.0, ""modbus_fdi"": 0.0, ""port_scan"": 0.9598540145985401, ""sql_injection"": 1.0, ""tcp_ack_flood"": 1.0, ""tcp_syn_flood"": 1.0, ""vuln_scan"": 0.012002526847757423}","{""vuln_scan"": 0.012002526847757423, ""modbus_fdi"": 0.0, ""modbus_abuse"": 0.0, ""insider_threat"": 0.0, ""apt_exfil"": 1.0}",1660,2468,1659,2479
15,fixed,26742,0.7348365783691406,"{""vuln_scan"": 8329, ""icmp_flood"": 4605, ""tcp_syn_flood"": 2289, ""tcp_ack_flood"": 2269, ""modbus_fdi"": 1099, ""port_scan"": 403, ""modbus_abuse"": 223, ""apt_exfil"": 211, ""insider_threat"": 177, ""sql_injection"": 46}",0.6688100717476648,0.9570582583821274,0.502824283751463,0.9983833484894412,0.0022563813284445073,"{""apt_exfil"": 1.0, ""icmp_flood"": 1.0, ""insider_threat"": 0.0, ""modbus_abuse"": 0.0, ""modbus_fdi"": 0.0, ""port_scan"": 0.9652605459057072, ""sql_injection"": 1.0, ""tcp_ack_flood"": 1.0, ""tcp_syn_flood"": 0.999563128003495, ""vuln_scan"": 0.008764557569936366}","{""vuln_scan"": 0.008764557569936366, ""modbus_fdi"": 0.0, ""modbus_abuse"": 0.0, ""insider_threat"": 0.0, ""apt_exfil"": 1.0}",2292,4760,2293,4772
16,fixed,26742,0.8123924732208252,"{""vuln_scan"": 11814, ""icmp_flood"": 4869, ""tcp_syn_flood"": 1558, ""tcp_ack_flood"": 1287, ""modbus_fdi"": 784, ""apt_exfil"": 558, ""port_scan"": 412, ""insider_threat"": 262, ""modbus_abuse"": 123, ""sql_injection"": 58}",0.576802302760696,0.9593488346784679,0.4058457997698504,0.996609020006782,0.005979669124975085,"{""apt_exfil"": 1.0, ""icmp_flood"": 1.0, ""insider_threat"": 0.0, ""modbus_abuse"": 0.0, ""modbus_fdi"": 0.0, ""port_scan"": 0.9514563106796117, ""sql_injection"": 1.0, ""tcp_ack_flood"": 1.0, ""tcp_syn_flood"": 1.0, ""vuln_scan"": 0.008041306923988488}","{""vuln_scan"": 0.008041306923988488, ""modbus_fdi"": 0.0, ""modbus_abuse"": 0.0, ""insider_threat"": 0.0, ""apt_exfil"": 1.0}",1561,6321,1574,6346
17,fixed,26742,0.7057811617851257,"{""vuln_scan"": 12885, ""icmp_flood"": 4105, ""apt_exfil"": 1021, ""insider_threat"": 480, ""port_scan"": 298, ""sql_injection"": 85}",0.44148768161718255,0.7147018413710211,0.296227614708064,0.8662844747443446,0.10968479918657854,"{""apt_exfil"": 1.0, ""icmp_flood"": 1.0, ""insider_threat"": 0.0, ""port_scan"": 0.9530201342281879, ""sql_injection"": 1.0, ""vuln_scan"": 0.007450523864959255}","{""vuln_scan"": 0.007450523864959255, ""modbus_fdi"": null, ""modbus_abuse"": null, ""insider_threat"": 0.0, ""apt_exfil"": 1.0}",29,6350,58,6404
18,fixed,26742,0.039413657039403915,"{""apt_exfil"": 604, ""insider_threat"": 386, ""sql_injection"": 64}",0.2304640331205796,0.10953193131294207,0.6337760910815939,0.1408391313514653,0.15863438181251946,"{""apt_exfil"": 1.0, ""insider_threat"": 0.0, ""sql_injection"": 1.0}","{""vuln_scan"": null, ""modbus_fdi"": null, ""modbus_abuse"": null, ""insider_threat"": 0.0, ""apt_exfil"": 1.0}",39,6389,78,6482
